Event ID Number,Division Name,Event Name,Upload Type,Report ,Context Box,Score Sheet,Additional Documents,Convention Type,EventGrpName,EventGender
777,Music - Instrumental,Instrumental Ensemble,Video,No,Yes,Yes,No,1,4,
778,Music - Instrumental,Tambourine Ensemble,Video,No,Yes,Yes,No,1,4,
779,Music - Instrumental,Handbell Ensemble,Video,No,Yes,Yes,No,1,4,
800,Music - Vocal,Male Solo,Video ,No,Yes,Yes,No,1,2,M
801,Music - Vocal,Male Duet,Video ,No,Yes,Yes,No,0,2,M
802,Music - Vocal,Male Trio,Video,No,Yes,Yes,No,0,2,M
803,Music - Vocal,Male Quartet,Video,No,Yes,Yes,No,1,2,M
804,Music - Vocal,Female Solo,Video,No,Yes,Yes,No,1,2,F
805,Music - Vocal,Female Duet,Video,No,Yes,Yes,No,0,2,F
806,Music - Vocal,Female Trio,Video ,No,Yes,Yes,No,0,2,F
807,Music - Vocal,Female Quartet,Video ,No,Yes,Yes,No,1,2,F
808,Music - Vocal,Mixed Duet,Video,No,Yes,Yes,No,0,2,
809,Music - Vocal,Mixed Trio,Video,No,Yes,Yes,No,0,2,
810,Music - Vocal,Vocal Small Group,Video,No,Yes,Yes,No,1,2,
813,Music - Vocal,Music Vocal Composition,Video,No,Yes,Yes,No,2,2,
814,Music - Vocal,Music Vocal Arranging,Video ,No,Yes,Yes,No,2,2,
850,Music - Vocal,Male Solo,Video ,No,Yes,Yes,No,1,4,M
851,Music - Vocal,Male Duet,Video,No,Yes,Yes,No,0,4,M
852,Music - Vocal,Male Trio,Video,No,Yes,Yes,No,0,4,M
853,Music - Vocal,Male Quartet,Video,No,Yes,Yes,No,1,4,M
854,Music - Vocal,Female Solo,Video,No,Yes,Yes,No,1,4,F
855,Music - Vocal,Female Duet,Video ,No,Yes,Yes,No,0,4,F
856,Music - Vocal,Female Trio,Video ,No,Yes,Yes,No,0,4,F
857,Music - Vocal,Female Quartet,Video,No,Yes,Yes,No,1,4,F
858,Music - Vocal,Mixed Duet,Video,No,Yes,Yes,No,0,4,
859,Music - Vocal,Mixed Trio,Video,No,Yes,Yes,No,0,4,
860,Music - Vocal,Mixed Quartet,Video,No,Yes,Yes,No,1,4,
861,Music - Vocal,Vocal Ensemble,Video ,No,Yes,Yes,No,1,4,
862,Music - Vocal,Choir,Video ,No,Yes,Yes,No,1,4,
863,Music - Vocal,Music Vocal Composition,Document ,No,Yes,Yes,No,2,4,
864,Music - Vocal,Music Vocal Arranging,Document ,No,Yes,Yes,No,2,4,
900,Platform,Puppets,Video ,No,Yes,No,Yes,1,2,
901,Platform,Dramatic Dialogue,Video ,No,Yes,No,Yes,1,2,
902,Platform,Mime Solo,Video,No,Yes,No,Yes,1,2,
903,Platform,Mime Group,Video,No,Yes,No,Yes,1,2,
906,Platform,Oratory (Male),Video,No,No,No,Yes,1,2,M
907,Platform,Dramatic Monologue (Male),Video,No,No ,No,Yes,1,2,M
908,Platform,Expressive Reading (Male),Video ,No,No,No,Yes,1,2,M
909,Platform,Dramatic Narrative (Male),Video ,No,No,No,Yes,0,2,M
910,Platform,Poetry Recitation (Male),Video,No,No,No,Yes,1,2,M
911,Platform,Illustrated Storytelling (Male),Video,No,Yes,No,Yes,1,2,M
912,Platform,Ventriloquism (Male),Video,No,Yes,No,Yes,0,2,M
913,Platform,Clown Act (Male),Video,No,Yes,No,Yes,1,2,M
914,Platform,Famous Speech (Male),Video ,Yes,No,No,Yes,1,2,M
915,Platform,Preaching (Male),Video ,No,No,No,Yes,1,2,M
920,Platform,Oratory (Female),Video ,No,No ,No,Yes,1,2,F
921,Platform,Dramatic Monologue (Female),Video ,No,No,No,Yes,1,2,F
922,Platform,Expressive Reading (Female),Video,No,No,No,Yes,1,2,F
923,Platform,Dramatic Narrative (Female),Video,No,No,No,Yes,0,2,F
924,Platform,Poetry Recitation (Female),Video,No,No,No,Yes,1,2,F
925,Platform,Illustrated Storytelling (Female),Video,No,Yes,No,Yes,1,2,F
926,Platform,Ventriloquism (Female),Video ,No,Yes,No,Yes,0,2,F
927,Platform,Clown Act (Female),Video ,No,Yes,No,Yes,1,2,F
928,Platform,Famous Speech (Female),Video,Yes,No,No,Yes,1,2,F
929,Platform,Preaching (Female),Video,No,No,No,Yes,1,2,F
950,Platform,Puppets,Video,No,Yes,No,Yes,1,4,
951,Platform,Dramatic Dialogue,Video,No,No,No,Yes,1,4,
952,Platform,Mime Solo,Video ,No,Yes,No,Yes,1,4,
953,Platform,Mime Group ,Video ,No,Yes,No,Yes,1,4,
954,Platform,One-Act Play,Video ,No,Yes,No,Yes,1,4,
956,Platform,Oratory (Male),Video ,No,No,No,Yes,1,4,M
957,Platform,Dramatic Monologue (Male),Video,No,No,No,Yes,1,4,M
958,Platform,Expressive Reading (Male),Video,No,No,No,Yes,1,4,M
959,Platform,Dramatic Narrative (Male),Video,No,No,No,Yes,0,4,M
960,Platform,Poetry Recitation (Male),Video,No,No ,No,Yes,1,4,M
961,Platform,Illustrated Storytelling (Male),Video ,No,Yes,No,Yes,1,4,M
962,Platform,Ventriloquism (Male),Video ,No,Yes,No,Yes,0,4,M
963,Platform,Clown Act (Male),Video,No,Yes,No,Yes,1,4,M
964,Platform,Famous Speech (Male),Video,Yes,No,No,Yes,1,4,M
965,Platform,Preaching (Male),Video,No,No,No,Yes,1,4,M
970,Platform,Oratory (Female),Video,No,No,No,Yes,1,4,F
971,Platform,Dramatic Monologue (Female),Video ,No,No,No,Yes,1,4,F
972,Platform,Expressive Reading (Female),Video ,No,No,No,Yes,1,4,F
973,Platform,Dramatic Narrative (Female),Video ,No,No,No,Yes,0,4,F
974,Platform,Poetry Recitation (Female),Video ,No,No,No,Yes,1,4,F
975,Platform,Illustrated Storytelling (Female),Video,No,Yes,No,Yes,1,4,F
976,Platform,Ventriloquism (Female),Video,No,Yes,No,Yes,0,4,F
